restaurant_franchise_id,receipt_id,id,franchise_id,franchise_name,country,city,lat,lng,date,avg_tmpr_c,total_cost,discount,real_total_cost,items_count,order_size,most_popular_order_type
1670,9cf52ea4-80eb-4acc-9e62-9de0aae34539,103079215162,59,Azalea Cafe,FR,Paris,48.88,2.29,2022-08-17,17.56,3.10,0.0,3.1,15,large,large
1670,e834ffef-0077-4349-9afe-ba072b2ec313,103079215166,63,Cafe Paris,GB,London,51.5,-0.14,2022-08-17,15.78,10.40,0.15,8.84,5,small,large
1670,8fc6f524-acb3-4cfb-9480-5128fea473d4,103079215164,61,Blue Water Bistro,GB,London,51.49,-0.2,2022-08-17,16.41,1.96,0.15,1.666,3,small,large
1670,ac22db17-3cc5-4f12-a27d-5bc595b24964,103079215162,59,Azalea Cafe,FR,Paris,48.88,2.29,2022-08-17,17.56,25.85,0.1,23.265,15,large,large
1670,ec8dcc69-f1fa-4a72-a056-f427f541bd2d,103079215166,63,Cafe Paris,GB,London,51.5,-0.14,2022-08-17,15.78,18.06,0.15,15.350999999999999,5,small,large
1670,eacd31aa-6619-4425-b2f7-554d990dfe3d,103079215162,59,Azalea Cafe,FR,Paris,48.88,2.29,2022-08-17,17.56,15.34,0.0,15.34,15,large,large
1670,0eab1a59-32e1-4c74-bd5c-567439198212,103079215140,37,Cafe Crepe,US,West Springfield,42.12,-72.63,2022-08-17,22.49,9.16,0.15,7.7860000000000005,1,tiny,large
1670,55dd10cd-978d-4422-a06d-2d3f99346af1,103079215163,60,Big City Grill,FR,Paris,48.88,2.32,2022-08-17,17.68,16.66,0.0,16.66,9,small,large
1670,936de02f-693b-46f6-b5df-6c2d5ed1cd42,103079215161,58,A Tasty Bite,FR,Paris,48.87,2.33,2022-08-17,18.34,23.10,0.15,19.635,41,large,large
1670,b06ff502-07d3-4741-abcb-e4dbafe439ee,103079215109,6,The Daily Grind,US,Gatesville,31.43,-97.72,2022-08-17,29.49,16.54,0.15,14.059,1,tiny,large
1670,19a5786e-e23a-48bc-839a-10372cef3cf9,103079215166,63,Cafe Paris,GB,London,51.5,-0.14,2022-08-17,15.78,2.65,0.15,2.2525,5,small,large
1670,eb5c8db2-a132-42cc-a099-e87ef8a96eb0,103079215157,54,The Spice House,FR,Paris,48.85,2.28,2022-08-17,17.78,9.84,0.0,9.84,5,small,large
1670,5294ea3d-045a-4fd8-80b3-6834d96723a4,103079215162,59,Azalea Cafe,FR,Paris,48.88,2.29,2022-08-17,17.56,6.20,0.05,5.890000000000001,15,large,large
1670,687fc93c-9757-4ad0-b612-9c9084744c0a,103079215164,61,Blue Water Bistro,GB,London,51.49,-0.2,2022-08-17,16.41,9.62,0.15,8.177,3,small,large
1670,b90f4fa5-edea-4ede-b524-c260b4f8662e,103079215165,62,Cafe Luminoso,GB,London,51.49,-0.18,2022-08-17,15.81,10.83,0.0,10.83,11,large,large
1670,44fb1de4-ce83-4e50-8a58-92cad861dbeb,103079215160,57,The Yellow Submarine,FR,Paris,48.87,2.34,2022-08-17,18.01,0.19,0.0,0.19,24,large,large
1670,1ef0d01b-ef63-4c98-b2d5-c4b5f6038b7f,103079215161,58,A Tasty Bite,FR,Paris,48.87,2.33,2022-08-17,18.34,4.58,0.0,4.58,41,large,large
